ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
VENEZUELA,VEN,C. MARACAIBO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,03,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,15
REPUBLICA DOMINICANA,DOM,C. SANTO DOMINGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,151,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,143,1,2
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,139,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,3
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,11,150,1,1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,160,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,11,154,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,13,150,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,1
ECUADOR,ECU,C. ESMERALDAS,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,FEMENINO,13,150,1,5
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,5
ESPANIA,ESP,C. PALMA DE MALLORCA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,158,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,177,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,13,150,1,1
VENEZUELA,VEN,C. MARACAIBO,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,12,158,1,1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,17
NUEVA ZELANDA,NZL,C. AUCKLAND,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,MEDICINA,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,13,150,1,1
BRASIL,BRA,C. SAO PAULO,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,MEDICINA,NO INDICA,SOLTERO,FEMENINO,13,150,1,1
AUSTRALIA,AUS,C. CANBERRA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,163,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,44
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,21,NO INDICA,NO INDICA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,11,150,1,1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,3
PERU,PER,C. IQUITOS,ADULTO JOVEN,21,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,1
FEDERACION DE RUSIA,RUS,C. MOSCU,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,120,1,1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,6
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,161,1,1
